"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL157285";"";"None";"499.37";"0";"2.46";"35";"COc1ccc(S(=O)(=O)N2CCc3cc(I)ccc32)cc1N1CCNCC1";"Ki";"'='";"3.981";"nM";"8.40";"";"";"UO_0000065";"16.82";"0.42";"5.94";"13.57";"0";"CHEMBL620784";"Binding affinity against human 5-hydroxytryptamine 6 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134050";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"8.4"
"CHEMBL343755";"";"None";"335.45";"0";"3.05";"SS-2c";"C[C@H]1C[C@H](C)N1C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1";"Ki";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"23.32";"0.43";"4.77";"19.89";"0";"CHEMBL620810";"Binding affinities towards 5-hydroxytryptamine 6 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135791";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"15.0"
"CHEMBL407860";"";"None";"478.04";"0";"4.68";"17n";"O=S(=O)(Nc1ccc2c(ccn2CCCN2CCCCC2)c1)c1c(Cl)nc2sccn12";"Ki";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL826384";"Inhibition of [3H]LSD binding to human 5-hydroxytryptamine 6 receptor expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145196";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3307715";"";"";"";"1000.0"
"CHEMBL1834225";"";"None";"308.41";"0";"1.67";"5";"CCN/C(=N\S(=O)(=O)c1ccccc1)N1CC(CC)C=N1";"Ki";"'='";"33.9";"nM";"7.47";"";"";"UO_0000065";"24.22";"0.49";"5.80";"10.08";"0";"CHEMBL1839301";"Displacement of [3H]-methyllysergic acid diethylamide from human 5-HT6 receptor expressed in CHO cells after 30 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833864";"1";"Scientific Literature";"J Med Chem";"2011";"CHEMBL3308072";"";"";"";"33.9"
"CHEMBL181382";"";"None";"283.35";"0";"3.25";"8";"Nc1ccc(S(=O)(=O)c2cccc3ccccc23)cc1";"Ki";"'='";"34.0";"nM";"7.47";"";"";"UO_0000065";"26.36";"0.51";"4.22";"12.41";"0";"CHEMBL838622";"Binding affinity against 5 Hydroxy tryptamine 6 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142049";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"34.0"
"CHEMBL4859019";"";"None";"463.62";"1";"5.31";"70";"CC(C)(C)OC(=O)N1CCCC(CNCCOc2cccc3c2ccn3Cc2ccccc2)C1";"Ki";"'='";"369.0";"nM";"6.43";"";"";"UO_0000065";"13.88";"0.26";"1.12";"11.54";"0";"CHEMBL4831101";"Displacement of [3H]LSD from human 5HT6 receptor expressed in CHO-K1 membrane incubated for 60 mins by solid scintillation counting analysis";"B";"BAO_0000249";"cell membrane format";"Homo sapiens";"None";"None";"CHO-K1";"Membrane";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4828761";"1";"Scientific Literature";"Eur J Med Chem";"2021";"None";"TIME = 1.0 hr";"ANTAGONIST";"";"369.0"
"CHEMBL3669668";"";"None";"426.54";"0";"3.39";"BDBM104389";"COCCOc1cc(S(=O)(=O)c2ccccc2)cc2c3c(n(C)c12)CC1CCC3N1";"Ki";"'='";"7.1";"nM";"8.15";"";"222963";"UO_0000065";"19.10";"0.37";"4.76";"11.71";"0";"CHEMBL3705122";"Binding Assay: The relative affinities of the various compounds for the 5-HT6 receptor were measured in a radioligand binding assay, using a sintillation proximity assay (SPA) format.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638715";"37";"BindingDB Patent Bioactivity Data";"";"2013";"None";"";"";"";"7.1"
"CHEMBL18701";"RO-201724";"None";"278.35";"0";"2.10";"Ro-201724";"CCCCOc1cc(CC2CNC(=O)N2)ccc1OC";"Ki";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909108";"DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide)";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"HeLa";"Membrane";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308376";"";"";"";""
"CHEMBL3289961";"";"None";"504.68";"1";"4.45";"21";"Cc1c(S(=O)(=O)NCCCN2CCN(c3nsc4ccccc34)CC2)sc2ccc(F)cc12";"Ki";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"13.71";"0.29";"2.47";"10.56";"0";"CHEMBL3297241";"Displacement of [3H]LSDm from human recombinant 5-HT6 receptor expressed in HEK293 cell membrane after 60 mins by liquid scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286108";"1";"Scientific Literature";"J Med Chem";"2014";"CHEMBL3307715";"";"";"";"120.0"
"CHEMBL3286585";"";"None";"371.44";"0";"2.35";"34";"O=S(=O)(c1cccc(F)c1)n1cc2c3c(cccc31)N1CCNCC1C2";"Ki";"'='";"0.7586";"nM";"9.12";"";"";"UO_0000065";"24.55";"0.48";"6.77";"16.78";"0";"CHEMBL3294611";"Displacement of [3H]LSD from human 5-HT6 receptor expressed in hamster BHK cells after 60 mins by scintillation counting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BHK";"None";"";"";"";"CHEMBL3371";"Serotonin 6 (5-HT6) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286112";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"9.12"
