"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL5094012";"";"None";"329.83";"0";"2.99";"5A6-2";"O=C1C[C@H](CNCc2ccc(Cl)c3cccnc23)CN1C1CC1";"Ki";"'='";"6.7";"nM";"8.17";"";"";"UO_0000065";"24.78";"0.49";"5.18";"18.07";"0";"CHEMBL5049162";"Displacement of [3H]-5-CT from human 5-HT5A receptor at 32 uM incubated for 2 hr by radioligand binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3426";"Serotonin 5a (5-HT5a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5046284";"1";"Scientific Literature";"J Med Chem";"2022";"None";"Dose = 32.0 microM | TIME = 2.0 hr";"ANTAGONIST";"";"6.7"
"CHEMBL5093295";"";"None";"326.83";"0";"3.44";"5A6-12";"Clc1ccc(CNC[C@H]2CCn3ccnc3C2)c2ncccc12";"Ki";"'='";"1.5";"nM";"8.82";"";"";"UO_0000065";"27.00";"0.52";"5.38";"20.65";"0";"CHEMBL5049162";"Displacement of [3H]-5-CT from human 5-HT5A receptor at 32 uM incubated for 2 hr by radioligand binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3426";"Serotonin 5a (5-HT5a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5046284";"1";"Scientific Literature";"J Med Chem";"2022";"None";"Dose = 32.0 microM | TIME = 2.0 hr";"ANTAGONIST";"";"1.5"
"CHEMBL2030636";"";"None";"193.26";"0";"2.46";"42";"Fc1cccc(CCN2CCCC2)c1";"Ki";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL2033386";"Inhibition of 5-HT5A receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3426";"Serotonin 5a (5-HT5a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2029272";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";""
"CHEMBL3654200";"";"None";"364.78";"0";"3.04";"BDBM148157";"NC(N)=NC(=O)N1CCc2c(Cl)ccc(-c3ccc(F)cc3F)c2C1";"Ki";"'='";"2.7";"nM";"8.57";"";"286482";"UO_0000065";"23.49";"0.47";"5.53";"10.12";"0";"CHEMBL3706332";"Binding Assay: A test compound and 150 uM of a DMSO solution of 5-carboxamide tryptamine (5-CT) were added to a 96-well plate at 2 ul/well and suspended in the incubation buffer, and the HEK293 cells forced to express the human 5-HT5A receptor that were prepared at a concentration of 200 ug/ml were added thereto at 100 ul/well. The cells were incubated for 15 minutes at room temperature, and then a [3H]5-CT solution (3 nM [3H]5-CT, incubation buffer) was added thereto at 100 ul/well.100 ul of the cell solution was separately dispensed into a liquid scintillation vial, and 2 ml of Aquasol II (registered trademark) was added thereto, followed by stirring. Thereafter, the radioactivity thereof was measured using a liquid scintillation counter. The cells were incubated for 60 minutes at 37 C. The reaction mixture was aspirated into a 96-well GF/C filter plate having undergone pretreatment with 0.2% polyethyleneimine, and washed 6 times with an ice-cold 50 mM Tris (pH 7.4).";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3426";"Serotonin 5a (5-HT5a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638449";"37";"BindingDB Patent Bioactivity Data";"";"2015";"CHEMBL3307715";"";"";"";"2.7"
"CHEMBL3654213";"";"None";"331.33";"0";"1.78";"BDBM148170";"NC(N)=NC(=O)N1CCc2cccc(-c3ncc(F)cc3F)c2C1";"Ki";"'='";"4.2";"nM";"8.38";"";"286495";"UO_0000065";"25.28";"0.48";"6.60";"8.58";"0";"CHEMBL3706332";"Binding Assay: A test compound and 150 uM of a DMSO solution of 5-carboxamide tryptamine (5-CT) were added to a 96-well plate at 2 ul/well and suspended in the incubation buffer, and the HEK293 cells forced to express the human 5-HT5A receptor that were prepared at a concentration of 200 ug/ml were added thereto at 100 ul/well. The cells were incubated for 15 minutes at room temperature, and then a [3H]5-CT solution (3 nM [3H]5-CT, incubation buffer) was added thereto at 100 ul/well.100 ul of the cell solution was separately dispensed into a liquid scintillation vial, and 2 ml of Aquasol II (registered trademark) was added thereto, followed by stirring. Thereafter, the radioactivity thereof was measured using a liquid scintillation counter. The cells were incubated for 60 minutes at 37 C. The reaction mixture was aspirated into a 96-well GF/C filter plate having undergone pretreatment with 0.2% polyethyleneimine, and washed 6 times with an ice-cold 50 mM Tris (pH 7.4).";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL3426";"Serotonin 5a (5-HT5a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638449";"37";"BindingDB Patent Bioactivity Data";"";"2015";"CHEMBL3307715";"";"";"";"4.2"
"CHEMBL349843";"";"None";"351.39";"0";"3.33";"5";"CCCN[C@@H]1CCc2c(OS(=O)(=O)C(F)(F)F)cccc2[C@@H]1C";"Ki";"'='";"3067.0";"nM";"5.51";"";"";"UO_0000065";"15.69";"0.33";"2.18";"9.95";"0";"CHEMBL804074";"Binding affinity was measured at cloned mammalian 5-HT1A receptor expressed in CHO-K1 cells (using [3H]8-OH-DPAT )";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL3426";"Serotonin 5a (5-HT5a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150496";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"CHEMBL3307512";"";"";"";"3067.0"
"CHEMBL126138";"";"None";"365.45";"0";"4.33";"6";"Cn1c2c(c3ccccc31)CN(CCC/C(=N/O)c1ccc(F)cc1)CC2";"Ki";"'='";"340.0";"nM";"6.47";"";"";"UO_0000065";"17.70";"0.33";"2.14";"15.87";"0";"CHEMBL620717";"Binding affinity towards human 5-hydroxytryptamine 5A receptor using LSD as radioligand";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3426";"Serotonin 5a (5-HT5a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145074";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"340.0"
"CHEMBL28651";"";"None";"338.48";"0";"3.61";"5e";"CSc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL620715";"Binding affinity to cloned human 5-hydroxytryptamine 5A receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3426";"Serotonin 5a (5-HT5a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134077";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"10.0"
"CHEMBL340861";"";"None";"288.37";"0";"2.99";"40";"Cn1ccc2c1CCN(CCCOc1ccc(F)cc1)C2";"Ki";"'='";"1920.0";"nM";"5.72";"";"";"UO_0000065";"19.82";"0.37";"2.73";"32.85";"0";"CHEMBL618086";"Binding affinity towards 5-hydroxytryptamine 5A receptor using lysergic acid diethylamide (LSD) as radioligand";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3426";"Serotonin 5a (5-HT5a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145074";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"1920.0"
"CHEMBL96504";"";"None";"338.43";"0";"4.14";"2";"Cn1c2c(c3ccccc31)CN(CCCOc1ccc(F)cc1)CC2";"Ki";"'='";"55.0";"nM";"7.26";"";"";"UO_0000065";"21.45";"0.40";"3.12";"41.72";"1";"CHEMBL620717";"Binding affinity towards human 5-hydroxytryptamine 5A receptor using LSD as radioligand";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3426";"Serotonin 5a (5-HT5a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145074";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"55.0"
